"_id","finalPrice","finalPriceDollar","maxPriceIqd","maxPriceUsd","singlePriceLimit","وێنە","کۆد","ئایدی","ناو","قەبارە / پێوانە","براند","پۆل","کەرەستەی باوان","دابینکەر","یەکە","التعبئة","پێچانەوەی دووەم","نرخ","سنووری نرخ","جۆری دراوی کاتی سکان","defaultSellingCurrencyMultiple","defaultCostCurrency","packagingNow","پێچانەوەی سەرەکی","activeNumber","ناوچە","ڕیز","ڕەفە","چالاک","ڕیزبەندی","بەرواری دروستکردن","چالاکی"
"69ef093b045a196b1594f43b","0","","0","","0","","511851","","ئیسفنجی ( ئۆکسۆ ترکی - 10عدد ) 1*12","ئیسفنجی ( ئۆکسۆ ترکی - 10عدد ) 1*12","0-دابراو","بابەتی سەفەری","","40- شیخ اللە","","دەرزەنی 12 دانە  = 1","","8500","","iqd","iqd","","1","6990094e54508023ddc7bb87","1","W","1","","بەڵێ","22347","2026-04-27T06:59:06.077Z",""
"69db39ee66a3df08250cb03a","0","","0","","0","","052800","","سینالکۆ قوتوو  ( ترێ - تاریخ نزیک  ) 330مل 1*24","سینالکۆ قوتوو  ( ترێ - تاریخ نزیک  ) 330مل 1*24","0-دابراو","خواردنەوە","","23- کۆمپانیای سەردار دینار","","سێت = 1","","5000","","iqd","iqd","","1","67457ea742e28ddef6d7234e","1","C","0","","بەڵێ","22337","2026-04-12T06:21:33.635Z",""
"6978864b3263379b08facefd","0","0","0","0","0","","1523","","نەستەلەی دوبەی لوکمی کونافە 35غم (1*24)","نەستەلەی دوبەی لوکمی کونافە 35غم (1*24)","0-دابراو","کێک","","3- کۆمپانیای پریستەیج (PRESTIGE)","","پارچە = 1","","5250","","iqd","iqd","","1","6720ced1f07ddcec46705934","1","G","4","","بەڵێ","22333","2026-01-27T09:32:58.699Z",""
"6995704b9547c95b7d539fa6","0","","0","","0","","48083","","کێکی لوکمی دوبەی بیستاجیۆ 35گم 1*24 ","کێکی لوکمی دوبەی بیستاجیۆ 35گم 1*24 ","0-دابراو","کێک","","3- کۆمپانیای پریستەیج (PRESTIGE)","","پارچە = 1","","5250","","iqd","iqd","","1","6720ced1f07ddcec46705934","1","G","4","","بەڵێ","22331","2026-02-18T07:54:50.695Z",""
"68f5e78c825a7c182c9b5acd","0","","0","","0","","D3012","","نەستەلەی لەڤینا ( کرامێل ) پاکەت زەرد 35گم 1*24","نەستەلەی لەڤینا ( کرامێل ) پاکەت زەرد 35گم 1*24","0-دابراو","کێک","","","","پارچە = 1","","5000","","iqd","iqd","","1","6720ced1f07ddcec46705934","1","G","2","","بەڵێ","22330","2025-10-20T07:41:00.447Z",""
"6905b4e70db104d4252c0c9c","0","","0","","0","","94888","","بیسکرێم تاوتاو بۆنۆ 6x ( شوکوکڵاتە ) 50گم 1*24","بیسکرێم تاوتاو بۆنۆ 6x ( شوکوکڵاتە ) 50گم 1*24","0-دابراو","کێک","","3- کۆمپانیای پریستەیج (PRESTIGE)","","پارچە = 1","","5000","","iqd","iqd","","1","6720ced1f07ddcec46705934","1","G","8","","بەڵێ","22329","2025-11-01T07:21:09.751Z",""
"69ad6ae6c12bac2a6db1024c","0","","0","","0","","628411","","نەستەلەی هەپی سناپ ( کاکاو ) 33گم 1*24","نەستەلەی هەپی سناپ ( کاکاو ) 33گم 1*24","0-دابراو","کێک","","3- کۆمپانیای پریستەیج (PRESTIGE)","","پارچە = 1","","5250","","iqd","iqd","","1","6720ced1f07ddcec46705934","1","G","10","","بەڵێ","22329","2026-03-08T12:26:13.449Z",""
"699ef0898bf3feb95bfa502a","0","","0","","0","","5192","","خورمای مەریەم ئاک سۆفی 1*12","خورمای مەریەم ئاک سۆفی 1*12","0-دابراو","معلبات","","40- شیخ اللە","","کارتۆن = 1","","26000","","iqd","iqd","","1","6720cebff07ddcec4670592e","1","B","22","","بەڵێ","22329","2026-02-25T12:52:24.427Z",""
"68f5f4c4825a7c182c9c0e94","0","","0","","0","","1935","","بسکویتی مدور ( شیر و فراوڵە ) هەپی نیس 30گم 1*24","بسکویتی مدور ( شیر و فراوڵە ) هەپی نیس 30گم 1*24","0-دابراو"," ئەلیکترۆنی","","3- کۆمپانیای پریستەیج (PRESTIGE)","","پارچە = 1","","2500","","iqd","iqd","","1","6720ced1f07ddcec46705934","1","G","8","","بەڵێ","22327","2025-10-20T08:37:23.715Z",""
"68f5f516825a7c182c9c1417","0","","0","","0","","1938","","بسکویتی مدور ( قاوە و فراوڵە ) هەپی نیس 30گم 1*24","بسکویتی مدور ( قاوە و فراوڵە ) هەپی نیس 30گم 1*24","0-دابراو"," ئەلیکترۆنی","","3- کۆمپانیای پریستەیج (PRESTIGE)","","پارچە = 1","","2500","","iqd","iqd","","1","6720ced1f07ddcec46705934","1","G","8","","بەڵێ","22326","2025-10-20T08:38:45.849Z",""
